@RELATION miceSleep
@ATTRIBUTE EMGAverage  REAL
@ATTRIBUTE EMGStandardDev  REAL
@ATTRIBUTE EMGmin  REAL
@ATTRIBUTE EMGmax  REAL
@ATTRIBUTE EEG1:0-2  REAL
@ATTRIBUTE EEG1:2-4  REAL
@ATTRIBUTE EEG1:4-6  REAL
@ATTRIBUTE EEG1:6-8  REAL
@ATTRIBUTE EEG1:8-10  REAL
@ATTRIBUTE EEG1:10-12  REAL
@ATTRIBUTE EEG1:12-14  REAL
@ATTRIBUTE EEG1:14-16  REAL
@ATTRIBUTE EEG1:16-18  REAL
@ATTRIBUTE EEG1:18-20  REAL
@ATTRIBUTE EEG1:20-22  REAL
@ATTRIBUTE EEG1:22-24  REAL
@ATTRIBUTE EEG1:24-26  REAL
@ATTRIBUTE EEG1:26-28  REAL
@ATTRIBUTE EEG1:28-30  REAL
@ATTRIBUTE EEG1:30-32  REAL
@ATTRIBUTE EEG1:32-34  REAL
@ATTRIBUTE EEG1:34-36  REAL
@ATTRIBUTE EEG1:36-38  REAL
@ATTRIBUTE EEG1:38-40  REAL
@ATTRIBUTE EEG1:40-42  REAL
@ATTRIBUTE EEG1:42-44  REAL
@ATTRIBUTE EEG1:44-46  REAL
@ATTRIBUTE EEG1:46-48  REAL
@ATTRIBUTE EEG1:48-50  REAL
@ATTRIBUTE EEG2:0-2  REAL
@ATTRIBUTE EEG2:2-4  REAL
@ATTRIBUTE EEG2:4-6  REAL
@ATTRIBUTE EEG2:6-8  REAL
@ATTRIBUTE EEG2:8-10  REAL
@ATTRIBUTE EEG2:10-12  REAL
@ATTRIBUTE EEG2:12-14  REAL
@ATTRIBUTE EEG2:14-16  REAL
@ATTRIBUTE EEG2:16-18  REAL
@ATTRIBUTE EEG2:18-20  REAL
@ATTRIBUTE EEG2:20-22  REAL
@ATTRIBUTE EEG2:22-24  REAL
@ATTRIBUTE EEG2:24-26  REAL
@ATTRIBUTE EEG2:26-28  REAL
@ATTRIBUTE EEG2:28-30  REAL
@ATTRIBUTE EEG2:30-32  REAL
@ATTRIBUTE EEG2:32-34  REAL
@ATTRIBUTE EEG2:34-36  REAL
@ATTRIBUTE EEG2:36-38  REAL
@ATTRIBUTE EEG2:38-40  REAL
@ATTRIBUTE EEG2:40-42  REAL
@ATTRIBUTE EEG2:42-44  REAL
@ATTRIBUTE EEG2:44-46  REAL
@ATTRIBUTE EEG2:46-48  REAL
@ATTRIBUTE EEG2:48-50  REAL
@ATTRIBUTE EEGavg:0-2  REAL
@ATTRIBUTE EEGavg:2-4  REAL
@ATTRIBUTE EEGavg:4-6  REAL
@ATTRIBUTE EEGavg:6-8  REAL
@ATTRIBUTE EEGavg:8-10  REAL
@ATTRIBUTE EEGavg:10-12  REAL
@ATTRIBUTE EEGavg:12-14  REAL
@ATTRIBUTE EEGavg:14-16  REAL
@ATTRIBUTE EEGavg:16-18  REAL
@ATTRIBUTE EEGavg:18-20  REAL
@ATTRIBUTE EEGavg:20-22  REAL
@ATTRIBUTE EEGavg:22-24  REAL
@ATTRIBUTE EEGavg:24-26  REAL
@ATTRIBUTE EEGavg:26-28  REAL
@ATTRIBUTE EEGavg:28-30  REAL
@ATTRIBUTE EEGavg:30-32  REAL
@ATTRIBUTE EEGavg:32-34  REAL
@ATTRIBUTE EEGavg:34-36  REAL
@ATTRIBUTE EEGavg:36-38  REAL
@ATTRIBUTE EEGavg:38-40  REAL
@ATTRIBUTE EEGavg:40-42  REAL
@ATTRIBUTE EEGavg:42-44  REAL
@ATTRIBUTE EEGavg:44-46  REAL
@ATTRIBUTE EEGavg:46-48  REAL
@ATTRIBUTE EEGavg:48-50  REAL
@ATTRIBUTE deltaEEG1  REAL
@ATTRIBUTE deltaEEG2  REAL
@ATTRIBUTE deltaAvg  REAL
@ATTRIBUTE thetaEEG1  REAL
@ATTRIBUTE thetaEEG2  REAL
@ATTRIBUTE thetaAvg  REAL
@ATTRIBUTE alphaEEG1  REAL
@ATTRIBUTE alphaEEG2  REAL
@ATTRIBUTE alphaAvg  REAL
@ATTRIBUTE betaEEG1  REAL
@ATTRIBUTE betaEEG2  REAL
@ATTRIBUTE betaAvg  REAL
@ATTRIBUTE gammaEEG1  REAL
@ATTRIBUTE gammaEEG2  REAL
@ATTRIBUTE gammaAvg  REAL
@ATTRIBUTE T-to-D_EEG1  REAL
@ATTRIBUTE T-to-D_EEG2  REAL
@ATTRIBUTE T-to-D_avg  REAL
@ATTRIBUTE B-to-D_EEG1  REAL
@ATTRIBUTE B-to-D_EEG2  REAL
@ATTRIBUTE B-to-D_avg  REAL
@ATTRIBUTE class {Wake, Non_REM, REM}

@DATA
-0.2619, 16.0681, -52.1613, 51.7674, 0.0416, 0.1058, 0.1166, 0.0455, 0.0853, 0.0977, 0.0675, 0.0937, 0.0539, 0.0740, 0.0720, 0.0565, 0.0400, 0.0280, 0.0049, 0.0029, 0.0033, 0.0033, 0.0016, 0.0006, 0.0003, 0.0012, 0.0018, 0.0015, 0.0006, 0.0778, 0.1156, 0.1985, 0.1324, 0.0657, 0.0692, 0.0758, 0.0489, 0.0498, 0.0445, 0.0366, 0.0319, 0.0197, 0.0103, 0.0051, 0.0028, 0.0018, 0.0015, 0.0021, 0.0026, 0.0024, 0.0019, 0.0010, 0.0011, 0.0011, 0.0668, 0.1126, 0.1738, 0.1062, 0.0716, 0.0778, 0.0733, 0.0624, 0.0511, 0.0534, 0.0473, 0.0393, 0.0258, 0.0156, 0.0050, 0.0028, 0.0022, 0.0020, 0.0019, 0.0020, 0.0018, 0.0017, 0.0013, 0.0012, 0.0010, 0.1474, 0.1933, 0.1704, 0.1621, 0.3309, 0.2465, 0.1830, 0.1349, 0.1590, 0.2891, 0.2191, 0.2541, 0.2184, 0.1218, 0.1701, 1.0998, 1.7115, 1.4469, 1.9615, 1.1333, 1.4916, Wake
-0.2693, 18.4158, -81.5035, 79.9774, 0.0452, 0.0818, 0.1165, 0.1292, 0.0948, 0.0674, 0.0536, 0.0607, 0.0575, 0.0667, 0.0637, 0.0593, 0.0423, 0.0343, 0.0097, 0.0031, 0.0019, 0.0016, 0.0018, 0.0016, 0.0014, 0.0013, 0.0019, 0.0011, 0.0016, 0.0539, 0.0911, 0.1298, 0.1843, 0.1177, 0.0749, 0.0655, 0.0637, 0.0270, 0.0549, 0.0460, 0.0376, 0.0277, 0.0108, 0.0032, 0.0015, 0.0010, 0.0010, 0.0010, 0.0010, 0.0012, 0.0012, 0.0012, 0.0013, 0.0015, 0.0512, 0.0882, 0.1257, 0.1673, 0.1106, 0.0726, 0.0618, 0.0628, 0.0364, 0.0585, 0.0515, 0.0443, 0.0322, 0.0181, 0.0052, 0.0020, 0.0013, 0.0012, 0.0013, 0.0012, 0.0013, 0.0012, 0.0014, 0.0012, 0.0015, 0.1270, 0.1450, 0.1360, 0.2458, 0.3141, 0.2799, 0.1622, 0.1926, 0.1774, 0.2385, 0.2110, 0.2248, 0.2266, 0.1372, 0.1819, 1.9357, 2.1660, 2.0585, 1.8785, 1.4553, 1.6528, Wake
-0.2857, 18.4718, -56.8876, 61.6631, 0.1027, 0.0980, 0.0583, 0.1154, 0.0844, 0.0481, 0.0887, 0.0802, 0.0604, 0.0652, 0.0788, 0.0467, 0.0426, 0.0140, 0.0086, 0.0031, 0.0008, 0.0005, 0.0003, 0.0004, 0.0004, 0.0003, 0.0005, 0.0008, 0.0007, 0.1845, 0.1845, 0.0835, 0.1054, 0.0622, 0.0498, 0.0538, 0.0513, 0.0471, 0.0528, 0.0311, 0.0408, 0.0308, 0.0113, 0.0063, 0.0019, 0.0007, 0.0003, 0.0002, 0.0001, 0.0002, 0.0002, 0.0004, 0.0004, 0.0003, 0.1568, 0.1553, 0.0750, 0.1088, 0.0697, 0.0492, 0.0656, 0.0611, 0.0516, 0.0570, 0.0472, 0.0428, 0.0348, 0.0122, 0.0071, 0.0023, 0.0007, 0.0004, 0.0002, 0.0002, 0.0002, 0.0002, 0.0004, 0.0006, 0.0004, 0.2008, 0.3690, 0.2849, 0.1737, 0.1889, 0.1813, 0.1325, 0.1120, 0.1223, 0.2945, 0.2051, 0.2498, 0.1985, 0.1251, 0.1618, 0.8653, 0.5119, 0.6364, 1.4669, 0.5557, 0.8768, Wake
-0.3401, 19.6394, -58.0691, 59.9399, 0.0972, 0.0730, 0.0723, 0.1069, 0.0365, 0.0815, 0.0628, 0.0686, 0.0713, 0.0682, 0.0674, 0.0790, 0.0538, 0.0386, 0.0103, 0.0018, 0.0020, 0.0016, 0.0013, 0.0010, 0.0011, 0.0010, 0.0008, 0.0009, 0.0011, 0.1292, 0.1628, 0.1122, 0.1067, 0.0956, 0.0677, 0.0383, 0.0496, 0.0486, 0.0313, 0.0457, 0.0350, 0.0216, 0.0169, 0.0035, 0.0043, 0.0047, 0.0041, 0.0038, 0.0035, 0.0033, 0.0032, 0.0029, 0.0028, 0.0028, 0.1179, 0.1312, 0.0981, 0.1068, 0.0748, 0.0726, 0.0469, 0.0563, 0.0566, 0.0442, 0.0533, 0.0505, 0.0330, 0.0245, 0.0059, 0.0035, 0.0037, 0.0032, 0.0029, 0.0026, 0.0025, 0.0024, 0.0022, 0.0021, 0.0022, 0.1702, 0.2920, 0.2311, 0.1792, 0.2189, 0.1990, 0.1180, 0.1633, 0.1406, 0.2708, 0.1678, 0.2193, 0.2618, 0.1581, 0.2099, 1.0528, 0.7495, 0.8612, 1.5910, 0.5745, 0.9488, Wake
-0.2404, 20.5581, -70.3771, 68.3586, 0.1013, 0.1013, 0.0794, 0.0923, 0.0918, 0.0820, 0.0708, 0.0654, 0.0628, 0.0555, 0.0479, 0.0635, 0.0534, 0.0202, 0.0058, 0.0015, 0.0011, 0.0004, 0.0004, 0.0004, 0.0004, 0.0004, 0.0006, 0.0007, 0.0008, 0.1748, 0.1284, 0.1064, 0.1030, 0.0883, 0.0645, 0.0647, 0.0426, 0.0376, 0.0458, 0.0320, 0.0445, 0.0289, 0.0094, 0.0042, 0.0030, 0.0029, 0.0028, 0.0026, 0.0025, 0.0024, 0.0023, 0.0022, 0.0020, 0.0022, 0.1503, 0.1193, 0.0974, 0.0994, 0.0895, 0.0703, 0.0667, 0.0502, 0.0460, 0.0491, 0.0373, 0.0508, 0.0371, 0.0130, 0.0048, 0.0025, 0.0023, 0.0020, 0.0019, 0.0018, 0.0017, 0.0016, 0.0017, 0.0016, 0.0017, 0.2026, 0.3032, 0.2529, 0.1717, 0.2094, 0.1905, 0.1738, 0.1528, 0.1633, 0.2545, 0.1908, 0.2226, 0.1974, 0.1440, 0.1707, 0.8473, 0.6906, 0.7534, 1.2559, 0.6292, 0.8803, Wake
-0.3098, 22.3909, -68.4571, 73.2326, 0.1316, 0.0682, 0.0785, 0.0784, 0.0758, 0.0735, 0.0946, 0.0604, 0.0733, 0.0619, 0.0365, 0.0674, 0.0628, 0.0214, 0.0040, 0.0032, 0.0016, 0.0013, 0.0010, 0.0010, 0.0006, 0.0006, 0.0006, 0.0013, 0.0007, 0.1847, 0.1371, 0.0761, 0.1335, 0.0833, 0.0445, 0.0708, 0.0364, 0.0341, 0.0547, 0.0422, 0.0396, 0.0369, 0.0122, 0.0050, 0.0015, 0.0007, 0.0008, 0.0007, 0.0008, 0.0009, 0.0009, 0.0009, 0.0011, 0.0009, 0.1666, 0.1137, 0.0769, 0.1148, 0.0807, 0.0543, 0.0789, 0.0446, 0.0474, 0.0571, 0.0403, 0.0490, 0.0457, 0.0153, 0.0046, 0.0021, 0.0010, 0.0009, 0.0008, 0.0009, 0.0008, 0.0008, 0.0008, 0.0012, 0.0008, 0.1997, 0.3217, 0.2607, 0.1568, 0.2096, 0.1832, 0.1493, 0.1277, 0.1385, 0.2902, 0.1960, 0.2431, 0.2039, 0.1450, 0.1745, 0.7853, 0.6515, 0.7027, 1.4531, 0.6091, 0.9324, Wake
-0.2830, 22.3811, -64.5677, 61.6631, 0.1264, 0.1238, 0.0730, 0.1190, 0.0586, 0.0782, 0.0616, 0.0508, 0.0419, 0.0721, 0.0423, 0.0575, 0.0487, 0.0330, 0.0067, 0.0019, 0.0010, 0.0004, 0.0002, 0.0002, 0.0001, 0.0004, 0.0004, 0.0008, 0.0007, 0.2688, 0.1289, 0.1118, 0.0650, 0.0729, 0.0549, 0.0584, 0.0602, 0.0303, 0.0389, 0.0310, 0.0362, 0.0268, 0.0081, 0.0037, 0.0012, 0.0002, 0.0001, 0.0002, 0.0003, 0.0002, 0.0003, 0.0003, 0.0007, 0.0003, 0.2201, 0.1272, 0.0985, 0.0835, 0.0680, 0.0629, 0.0595, 0.0570, 0.0343, 0.0503, 0.0349, 0.0435, 0.0343, 0.0166, 0.0047, 0.0015, 0.0005, 0.0002, 0.0002, 0.0003, 0.0002, 0.0003, 0.0004, 0.0007, 0.0004, 0.2503, 0.3977, 0.3240, 0.1921, 0.1768, 0.1844, 0.1368, 0.1278, 0.1323, 0.2265, 0.1879, 0.2072, 0.1944, 0.1098, 0.1521, 0.7674, 0.4446, 0.5693, 0.9049, 0.4723, 0.6394, Wake
-0.2638, 21.6076, -74.3649, 91.8915, 0.0731, 0.0951, 0.0913, 0.1006, 0.1031, 0.0537, 0.0618, 0.0686, 0.0581, 0.0712, 0.0598, 0.0607, 0.0575, 0.0166, 0.0077, 0.0028, 0.0027, 0.0022, 0.0021, 0.0019, 0.0021, 0.0017, 0.0019, 0.0020, 0.0017, 0.1758, 0.1502, 0.0799, 0.1057, 0.1012, 0.0478, 0.0656, 0.0401, 0.0357, 0.0423, 0.0533, 0.0451, 0.0251, 0.0175, 0.0074, 0.0023, 0.0011, 0.0008, 0.0006, 0.0006, 0.0004, 0.0003, 0.0003, 0.0005, 0.0004, 0.1332, 0.1273, 0.0847, 0.1036, 0.1020, 0.0503, 0.0640, 0.0519, 0.0450, 0.0543, 0.0560, 0.0515, 0.0386, 0.0171, 0.0075, 0.0025, 0.0018, 0.0014, 0.0012, 0.0011, 0.0011, 0.0009, 0.0009, 0.0011, 0.0009, 0.1682, 0.3260, 0.2471, 0.1919, 0.1856, 0.1888, 0.1568, 0.1491, 0.1529, 0.2597, 0.1836, 0.2217, 0.2234, 0.1557, 0.1896, 1.1407, 0.5694, 0.7638, 1.5438, 0.5633, 0.8970, Wake
-0.2742, 19.9288, -73.5772, 66.8816, 0.1324, 0.0702, 0.0636, 0.1229, 0.0684, 0.1023, 0.0356, 0.0632, 0.0637, 0.0494, 0.0705, 0.0571, 0.0593, 0.0291, 0.0031, 0.0021, 0.0011, 0.0005, 0.0006, 0.0006, 0.0007, 0.0006, 0.0008, 0.0017, 0.0004, 0.1756, 0.1060, 0.0907, 0.1075, 0.0449, 0.0921, 0.0673, 0.0505, 0.0658, 0.0420, 0.0472, 0.0398, 0.0323, 0.0240, 0.0082, 0.0012, 0.0005, 0.0003, 0.0005, 0.0004, 0.0005, 0.0006, 0.0007, 0.0005, 0.0009, 0.1602, 0.0933, 0.0811, 0.1130, 0.0533, 0.0957, 0.0560, 0.0551, 0.0650, 0.0446, 0.0555, 0.0459, 0.0419, 0.0258, 0.0064, 0.0015, 0.0007, 0.0004, 0.0005, 0.0005, 0.0006, 0.0006, 0.0007, 0.0010, 0.0007, 0.2026, 0.2816, 0.2421, 0.1865, 0.1982, 0.1924, 0.1707, 0.1370, 0.1538, 0.2119, 0.2256, 0.2188, 0.2283, 0.1575, 0.1929, 0.9205, 0.7039, 0.7945, 1.0462, 0.8012, 0.9037, Wake
-0.2928, 19.5615, -62.3031, 59.5953, 0.0973, 0.0616, 0.0745, 0.1271, 0.0801, 0.0666, 0.0510, 0.0483, 0.0731, 0.0924, 0.0494, 0.0653, 0.0627, 0.0262, 0.0119, 0.0026, 0.0021, 0.0013, 0.0013, 0.0009, 0.0009, 0.0007, 0.0009, 0.0011, 0.0007, 0.1801, 0.1459, 0.0743, 0.1442, 0.0795, 0.0761, 0.0408, 0.0421, 0.0355, 0.0526, 0.0324, 0.0357, 0.0306, 0.0169, 0.0071, 0.0019, 0.0009, 0.0007, 0.0003, 0.0003, 0.0002, 0.0002, 0.0003, 0.0007, 0.0005, 0.1492, 0.1144, 0.0744, 0.1378, 0.0797, 0.0726, 0.0446, 0.0444, 0.0495, 0.0675, 0.0387, 0.0468, 0.0426, 0.0204, 0.0089, 0.0022, 0.0014, 0.0009, 0.0007, 0.0005, 0.0004, 0.0004, 0.0005, 0.0008, 0.0006, 0.1589, 0.3260, 0.2425, 0.2016, 0.2186, 0.2101, 0.1468, 0.1556, 0.1512, 0.2647, 0.1711, 0.2179, 0.2280, 0.1287, 0.1783, 1.2689, 0.6704, 0.8665, 1.6660, 0.5249, 0.8988, Wake
